Date,BTC,ETH,DOGE,ETC,XRP,LTC,BCH,ZEC,BSV,DASH,XMR,BTG,RDD,VTC,BLK,FTC
2010-07-17,0.0495,null,null,null,null,null,null,null,null,null,null,null,0.0495nullnull,null,0.0495nullnull,0.0495nullnull
2010-07-18,0.0726,null,null,null,null,null,null,null,null,null,null,null,0.0726nullnull,null,0.0726nullnull,0.0726nullnull
2010-07-19,0.0859,null,null,null,null,null,null,null,null,null,null,null,0.0859nullnull,null,0.0859nullnull,0.0859nullnull
2010-07-20,0.0783,null,null,null,null,null,null,null,null,null,null,null,0.0783nullnull,null,0.0783nullnull,0.0783nullnull
2010-07-21,0.0767,null,null,null,null,null,null,null,null,null,null,null,0.0767nullnull,null,0.0767nullnull,0.0767nullnull
2010-07-22,0.0649,null,null,null,null,null,null,null,null,null,null,null,0.0649nullnull,null,0.0649nullnull,0.0649nullnull
2010-07-23,0.0566,null,null,null,null,null,null,null,null,null,null,null,0.0566nullnull,null,0.0566nullnull,0.0566nullnull
2010-07-24,0.0581,null,null,null,null,null,null,null,null,null,null,null,0.0581nullnull,null,0.0581nullnull,0.0581nullnull
2010-07-25,0.053,null,null,null,null,null,null,null,null,null,null,null,0.053nullnull,null,0.053nullnull,0.053nullnull
2010-07-26,0.053,null,null,null,null,null,null,null,null,null,null,null,0.053nullnull,null,0.053nullnull,0.053nullnull
2010-07-27,0.058,null,null,null,null,null,null,null,null,null,null,null,0.058nullnull,null,0.058nullnull,0.058nullnull
2010-07-28,0.0595,null,null,null,null,null,null,null,null,null,null,null,0.0595nullnull,null,0.0595nullnull,0.0595nullnull
2010-07-29,0.0648,null,null,null,null,null,null,null,null,null,null,null,0.0648nullnull,null,0.0648nullnull,0.0648nullnull
2010-07-30,0.0663,null,null,null,null,null,null,null,null,null,null,null,0.0663nullnull,null,0.0663nullnull,0.0663nullnull
2010-07-31,0.0664,null,null,null,null,null,null,null,null,null,null,null,0.0664nullnull,null,0.0664nullnull,0.0664nullnull
2010-08-01,0.0611,null,null,null,null,null,null,null,null,null,null,null,0.0611nullnull,null,0.0611nullnull,0.0611nullnull
2010-08-02,0.0613,null,null,null,null,null,null,null,null,null,null,null,0.0613nullnull,null,0.0613nullnull,0.0613nullnull
2010-08-03,0.06,null,null,null,null,null,null,null,null,null,null,null,0.06nullnull,null,0.06nullnull,0.06nullnull
2010-08-04,0.0597,null,null,null,null,null,null,null,null,null,null,null,0.0597nullnull,null,0.0597nullnull,0.0597nullnull
2010-08-05,0.0596,null,null,null,null,null,null,null,null,null,null,null,0.0596nullnull,null,0.0596nullnull,0.0596nullnull
2010-08-06,0.0622,null,null,null,null,null,null,null,null,null,null,null,0.0622nullnull,null,0.0622nullnull,0.0622nullnull
2010-08-07,0.0599,null,null,null,null,null,null,null,null,null,null,null,0.0599nullnull,null,0.0599nullnull,0.0599nullnull
2010-08-08,0.06,null,null,null,null,null,null,null,null,null,null,null,0.06nullnull,null,0.06nullnull,0.06nullnull
2010-08-09,0.066,null,null,null,null,null,null,null,null,null,null,null,0.066nullnull,null,0.066nullnull,0.066nullnull
2010-08-10,0.069,null,null,null,null,null,null,null,null,null,null,null,0.069nullnull,null,0.069nullnull,0.069nullnull
2010-08-11,0.0635,null,null,null,null,null,null,null,null,null,null,null,0.0635nullnull,null,0.0635nullnull,0.0635nullnull
2010-08-12,0.069,null,null,null,null,null,null,null,null,null,null,null,0.069nullnull,null,0.069nullnull,0.069nullnull
2010-08-13,0.0655,null,null,null,null,null,null,null,null,null,null,null,0.0655nullnull,null,0.0655nullnull,0.0655nullnull
2010-08-14,0.0663,null,null,null,null,null,null,null,null,null,null,null,0.0663nullnull,null,0.0663nullnull,0.0663nullnull
2010-08-15,0.0661,null,null,null,null,null,null,null,null,null,null,null,0.0661nullnull,null,0.0661nullnull,0.0661nullnull
2010-08-16,0.0643,null,null,null,null,null,null,null,null,null,null,null,0.0643nullnull,null,0.0643nullnull,0.0643nullnull
2010-08-17,0.0678,null,null,null,null,null,null,null,null,null,null,null,0.0678nullnull,null,0.0678nullnull,0.0678nullnull
2010-08-18,0.069,null,null,null,null,null,null,null,null,null,null,null,0.069nullnull,null,0.069nullnull,0.069nullnull
2010-08-19,0.0673,null,null,null,null,null,null,null,null,null,null,null,0.0673nullnull,null,0.0673nullnull,0.0673nullnull
2010-08-20,0.0661,null,null,null,null,null,null,null,null,null,null,null,0.0661nullnull,null,0.0661nullnull,0.0661nullnull
2010-08-21,0.066,null,null,null,null,null,null,null,null,null,null,null,0.066nullnull,null,0.066nullnull,0.066nullnull
2010-08-22,0.0655,null,null,null,null,null,null,null,null,null,null,null,0.0655nullnull,null,0.0655nullnull,0.0655nullnull
2010-08-23,0.0655,null,null,null,null,null,null,null,null,null,null,null,0.0655nullnull,null,0.0655nullnull,0.0655nullnull
2010-08-24,0.065,null,null,null,null,null,null,null,null,null,null,null,0.065nullnull,null,0.065nullnull,0.065nullnull
2010-08-25,0.0656,null,null,null,null,null,null,null,null,null,null,null,0.0656nullnull,null,0.0656nullnull,0.0656nullnull
2010-08-26,0.0644,null,null,null,null,null,null,null,null,null,null,null,0.0644nullnull,null,0.0644nullnull,0.0644nullnull
2010-08-27,0.0645,null,null,null,null,null,null,null,null,null,null,null,0.0645nullnull,null,0.0645nullnull,0.0645nullnull
2010-08-28,0.0646,null,null,null,null,null,null,null,null,null,null,null,0.0646nullnull,null,0.0646nullnull,0.0646nullnull
2010-08-29,0.0644,null,null,null,null,null,null,null,null,null,null,null,0.0644nullnull,null,0.0644nullnull,0.0644nullnull
2010-08-30,0.0648,null,null,null,null,null,null,null,null,null,null,null,0.0648nullnull,null,0.0648nullnull,0.0648nullnull
2010-08-31,0.0621,null,null,null,null,null,null,null,null,null,null,null,0.0621nullnull,null,0.0621nullnull,0.0621nullnull
2010-09-01,0.0625,null,null,null,null,null,null,null,null,null,null,null,0.0625nullnull,null,0.0625nullnull,0.0625nullnull
2010-09-02,0.0622,null,null,null,null,null,null,null,null,null,null,null,0.0622nullnull,null,0.0622nullnull,0.0622nullnull
2010-09-03,0.0609,null,null,null,null,null,null,null,null,null,null,null,0.0609nullnull,null,0.0609nullnull,0.0609nullnull
2010-09-04,0.0618,null,null,null,null,null,null,null,null,null,null,null,0.0618nullnull,null,0.0618nullnull,0.0618nullnull
2010-09-05,0.062,null,null,null,null,null,null,null,null,null,null,null,0.062nullnull,null,0.062nullnull,0.062nullnull
2010-09-06,0.0622,null,null,null,null,null,null,null,null,null,null,null,0.0622nullnull,null,0.0622nullnull,0.0622nullnull
2010-09-07,0.0613,null,null,null,null,null,null,null,null,null,null,null,0.0613nullnull,null,0.0613nullnull,0.0613nullnull
2010-09-08,0.0615,null,null,null,null,null,null,null,null,null,null,null,0.0615nullnull,null,0.0615nullnull,0.0615nullnull
2010-09-09,0.0611,null,null,null,null,null,null,null,null,null,null,null,0.0611nullnull,null,0.0611nullnull,0.0611nullnull
2010-09-10,0.0614,null,null,null,null,null,null,null,null,null,null,null,0.0614nullnull,null,0.0614nullnull,0.0614nullnull
2010-09-11,0.0628,null,null,null,null,null,null,null,null,null,null,null,0.0628nullnull,null,0.0628nullnull,0.0628nullnull
2010-09-12,0.0618,null,null,null,null,null,null,null,null,null,null,null,0.0618nullnull,null,0.0618nullnull,0.0618nullnull
2010-09-13,0.0621,null,null,null,null,null,null,null,null,null,null,null,0.0621nullnull,null,0.0621nullnull,0.0621nullnull
2010-09-14,0.062,null,null,null,null,null,null,null,null,null,null,null,0.062nullnull,null,0.062nullnull,0.062nullnull
2010-09-15,0.0615,null,null,null,null,null,null,null,null,null,null,null,0.0615nullnull,null,0.0615nullnull,0.0615nullnull
2010-09-16,0.0619,null,null,null,null,null,null,null,null,null,null,null,0.0619nullnull,null,0.0619nullnull,0.0619nullnull
2010-09-17,0.0599,null,null,null,null,null,null,null,null,null,null,null,0.0599nullnull,null,0.0599nullnull,0.0599nullnull
2010-09-18,0.06,null,null,null,null,null,null,null,null,null,null,null,0.06nullnull,null,0.06nullnull,0.06nullnull
2010-09-19,0.0618,null,null,null,null,null,null,null,null,null,null,null,0.0618nullnull,null,0.0618nullnull,0.0618nullnull
2010-09-20,0.0621,null,null,null,null,null,null,null,null,null,null,null,0.0621nullnull,null,0.0621nullnull,0.0621nullnull
2010-09-21,0.0629,null,null,null,null,null,null,null,null,null,null,null,0.0629nullnull,null,0.0629nullnull,0.0629nullnull
2010-09-22,0.0623,null,null,null,null,null,null,null,null,null,null,null,0.0623nullnull,null,0.0623nullnull,0.0623nullnull
2010-09-23,0.0622,null,null,null,null,null,null,null,null,null,null,null,0.0622nullnull,null,0.0622nullnull,0.0622nullnull
2010-09-24,0.0621,null,null,null,null,null,null,null,null,null,null,null,0.0621nullnull,null,0.0621nullnull,0.0621nullnull
2010-09-25,0.0621,null,null,null,null,null,null,null,null,null,null,null,0.0621nullnull,null,0.0621nullnull,0.0621nullnull
2010-09-26,0.062,null,null,null,null,null,null,null,null,null,null,null,0.062nullnull,null,0.062nullnull,0.062nullnull
2010-09-27,0.0621,null,null,null,null,null,null,null,null,null,null,null,0.0621nullnull,null,0.0621nullnull,0.0621nullnull
2010-09-28,0.0619,null,null,null,null,null,null,null,null,null,null,null,0.0619nullnull,null,0.0619nullnull,0.0619nullnull
2010-09-29,0.062,null,null,null,null,null,null,null,null,null,null,null,0.062nullnull,null,0.062nullnull,0.062nullnull
2010-09-30,0.0618,null,null,null,null,null,null,null,null,null,null,null,0.0618nullnull,null,0.0618nullnull,0.0618nullnull
2010-10-01,0.0619,null,null,null,null,null,null,null,null,null,null,null,0.0619nullnull,null,0.0619nullnull,0.0619nullnull
2010-10-02,0.0616,null,null,null,null,null,null,null,null,null,null,null,0.0616nullnull,null,0.0616nullnull,0.0616nullnull
2010-10-03,0.0613,null,null,null,null,null,null,null,null,null,null,null,0.0613nullnull,null,0.0613nullnull,0.0613nullnull
2010-10-04,0.0612,null,null,null,null,null,null,null,null,null,null,null,0.0612nullnull,null,0.0612nullnull,0.0612nullnull
2010-10-05,0.0614,null,null,null,null,null,null,null,null,null,null,null,0.0614nullnull,null,0.0614nullnull,0.0614nullnull
2010-10-06,0.0622,null,null,null,null,null,null,null,null,null,null,null,0.0622nullnull,null,0.0622nullnull,0.0622nullnull
2010-10-07,0.0651,null,null,null,null,null,null,null,null,null,null,null,0.0651nullnull,null,0.0651nullnull,0.0651nullnull
2010-10-08,0.0769,null,null,null,null,null,null,null,null,null,null,null,0.0769nullnull,null,0.0769nullnull,0.0769nullnull
2010-10-09,0.0884,null,null,null,null,null,null,null,null,null,null,null,0.0884nullnull,null,0.0884nullnull,0.0884nullnull
2010-10-10,0.0948,null,null,null,null,null,null,null,null,null,null,null,0.0948nullnull,null,0.0948nullnull,0.0948nullnull
2010-10-11,0.093,null,null,null,null,null,null,null,null,null,null,null,0.093nullnull,null,0.093nullnull,0.093nullnull
2010-10-12,0.0945,null,null,null,null,null,null,null,null,null,null,null,0.0945nullnull,null,0.0945nullnull,0.0945nullnull
2010-10-13,0.0985,null,null,null,null,null,null,null,null,null,null,null,0.0985nullnull,null,0.0985nullnull,0.0985nullnull
2010-10-14,0.103,null,null,null,null,null,null,null,null,null,null,null,0.103nullnull,null,0.103nullnull,0.103nullnull
2010-10-15,0.103,null,null,null,null,null,null,null,null,null,null,null,0.103nullnull,null,0.103nullnull,0.103nullnull
2010-10-16,0.101,null,null,null,null,null,null,null,null,null,null,null,0.101nullnull,null,0.101nullnull,0.101nullnull
